survived,pclass,sex,age,sibsp,parch,fare,embarked,title,ticketHeader,ticketNumber,cabinLetter,cabinNumber,child,parent,othersAlive,othersDrown
1,3,female,17,4,2,7.925,S,Miss,NA,3101281,NA,,0,0,0,0
0,3,male,26,2,0,8.6625,S,Mr,NA,315151,NA,,0,0,1,0
0,2,male,32,0,0,10.5,S,Mr,C,33111,NA,,0,0,0,0
0,3,female,16,5,2,46.9,S,Miss,C,2144,NA,,1,0,0,5
0,2,male,21,0,0,73.5,S,Mr,S,14879,NA,,0,0,0,0
0,3,male,26,1,0,14.4542,C,Mr,NA,2680,NA,,0,0,0,0
1,3,male,32,0,0,56.4958,S,Mr,NA,1601,NA,,0,0,0,0
0,3,male,25,0,0,7.65,S,Mr,NA,348123,F,73,0,0,0,0
0,3,male,,0,0,7.8958,S,Mr,NA,349208,NA,,0,0,0,0
0,3,male,,0,0,8.05,S,Mr,NA,374746,NA,,0,0,0,0
1,2,male,0.83,0,2,29,S,Master,NA,248738,NA,,1,0,1,0
1,3,female,30,0,0,12.475,S,Miss,NA,364516,NA,,0,0,0,0
0,3,male,22,0,0,9,S,Mr,NA,345767,NA,,0,0,0,0
1,3,male,29,0,0,9.5,S,Mr,NA,345779,NA,,0,0,0,0
1,3,female,,0,0,7.7875,Q,Miss,NA,330932,NA,,0,0,0,0
0,1,male,28,0,0,47.1,S,Mr,NA,113059,NA,,0,0,0,0
1,2,female,17,0,0,10.5,S,Miss,S,14885,NA,,0,0,0,0
1,3,female,33,3,0,15.85,S,Mrs,NA,3101278,NA,,0,0,0,3
0,3,male,16,1,3,34.375,S,Mr,W,6608,NA,,0,1,0,3
0,3,male,,0,0,8.05,S,Mr,SOTON,392086,NA,,0,0,0,0
1,1,female,23,3,2,263,S,Miss,NA,19950,C,23,1,0,1,2
0,3,male,24,0,0,8.05,S,Mr,NA,343275,NA,,0,0,0,0
0,3,male,29,0,0,8.05,S,Mr,NA,343276,NA,,0,0,0,0
0,3,male,20,0,0,7.8542,S,Mr,NA,347466,NA,,0,0,0,0
0,1,male,46,1,0,61.175,S,Mr,W,5734,E,31,0,0,0,0
0,3,male,26,1,2,20.575,S,Mr,C,2315,NA,,0,1,1,0
0,3,male,59,0,0,7.25,S,Mr,NA,364500,NA,,0,0,0,0
0,3,male,,0,0,8.05,S,Mr,NA,374910,NA,,0,0,0,0
0,1,male,71,0,0,34.6542,C,Mr,P,17754,A,5,0,0,0,0
1,1,male,23,0,1,63.3583,C,Mr,P,17759,D,10,1,0,0,0
1,2,female,34,0,1,23,S,Mrs,NA,231919,NA,,0,1,1,0
0,2,male,34,1,0,26,S,Mr,NA,244367,NA,,0,0,1,0
0,3,female,28,0,0,7.8958,S,Miss,NA,349245,NA,,0,0,0,0
0,3,male,,0,0,7.8958,S,Mr,NA,349215,NA,,0,0,0,0
0,1,male,21,0,1,77.2875,S,Mr,NA,35281,D,26,1,0,0,1
0,3,male,33,0,0,8.6542,S,Mr,NA,7540,NA,,0,0,0,0
0,3,male,37,2,0,7.925,S,Mr,NA,3101276,NA,,0,0,1,2
0,3,male,28,0,0,7.8958,S,Mr,NA,349207,NA,,0,0,0,0
1,3,female,21,0,0,7.65,S,Miss,NA,343120,NA,,0,0,0,0
1,3,male,,0,0,7.775,S,Mr,NA,312991,NA,,0,0,0,0
0,3,male,38,0,0,7.8958,S,Mr,NA,349249,NA,,0,0,0,0
1,3,female,,1,0,24.15,Q,Miss,NA,371110,NA,,0,0,0,1
0,1,male,47,0,0,52,S,Mr,NA,110465,C,110,0,0,0,0
0,3,female,14.5,1,0,14.4542,C,Miss,NA,2665,NA,,0,0,0,1
0,3,male,22,0,0,8.05,S,Mr,NA,324669,NA,,0,0,0,0
0,3,female,20,1,0,9.825,S,Miss,NA,4136,NA,,0,0,0,1
0,3,female,17,0,0,14.4583,C,Miss,NA,2627,NA,,0,0,0,0
0,3,male,21,0,0,7.925,S,Mr,SOTON,3101294,NA,,0,0,0,0
0,3,male,70.5,0,0,7.75,Q,Mr,NA,370369,NA,,0,0,0,0
0,2,male,29,1,0,21,S,Mr,NA,11668,NA,,0,0,0,1
0,1,male,24,0,1,247.5208,C,Mr,P,17558,B,58,1,0,1,0
0,3,female,2,4,2,31.275,S,Miss,NA,347082,NA,,1,0,0,6
0,2,male,21,2,0,73.5,S,Mr,S,14879,NA,,0,0,0,2
0,3,male,,0,0,8.05,S,Mr,A,54510,NA,,0,0,0,0
0,2,male,32.5,1,0,30.0708,C,Mr,NA,237736,NA,,0,0,1,0
1,2,female,32.5,0,0,13,S,Miss,NA,27267,E,101,0,0,0,0
0,1,male,54,0,1,77.2875,S,Mr,NA,35281,D,26,0,1,0,1
1,3,male,12,1,0,11.2417,C,Master,NA,2651,NA,,0,0,1,0
0,3,male,,0,0,7.75,Q,Mr,NA,370372,NA,,0,0,0,0
1,3,male,24,0,0,7.1417,S,Mr,C,17369,NA,,0,0,0,0
1,3,female,,1,1,22.3583,C,Miss,NA,2668,F,69,1,0,1,0
0,3,male,45,0,0,6.975,S,Mr,NA,347061,NA,,0,0,0,0
0,3,male,33,0,0,7.8958,C,Mr,NA,349241,NA,,0,0,0,0
0,3,male,20,0,0,7.05,S,Mr,SOTON,3101307,NA,,0,0,0,0
0,3,female,47,1,0,14.5,S,Mrs,A,3337,NA,,0,0,0,0
1,2,female,29,1,0,26,S,Mrs,NA,228414,NA,,0,0,0,0
0,2,male,25,0,0,13,S,Mr,C,29178,NA,,0,0,0,0
0,2,male,23,0,0,15.0458,C,Mr,SCPARIS,2133,NA,,0,0,0,0
1,1,female,19,0,2,26.2833,S,Miss,NA,11752,D,47,1,0,2,0
0,1,male,37,1,0,53.1,S,Mr,NA,113803,C,123,0,0,1,0
0,3,male,16,0,0,9.2167,S,Mr,NA,7534,NA,,0,0,0,0
0,1,male,24,0,0,79.2,C,Mr,P,17593,B,86,0,0,0,0
0,3,female,,0,2,15.2458,C,Mrs,NA,2678,NA,,0,1,0,1
1,3,female,22,0,0,7.75,S,Miss,NA,347081,NA,,0,0,0,0
1,3,female,24,1,0,15.85,S,Mrs,SOTON,3101279,NA,,0,0,0,1
0,3,male,19,0,0,6.75,Q,Mr,NA,365222,NA,,0,0,0,0
0,2,male,18,0,0,11.5,S,Mr,NA,231945,NA,,0,0,0,0
0,2,male,19,1,1,36.75,S,Mr,C,33112,NA,,1,0,1,0
1,3,male,27,0,0,7.7958,S,Mr,NA,350043,NA,,0,0,0,0
0,3,female,9,2,2,34.375,S,Miss,W,6608,NA,,1,0,0,3
0,2,male,36.5,0,2,26,S,Mr,NA,230080,F,2,0,1,2,0
0,2,male,42,0,0,13,S,Rev,NA,244310,NA,,0,0,0,0
0,2,male,51,0,0,12.525,S,Rev,S,1166,NA,,0,0,0,0
1,1,female,22,1,0,66.6,S,Mrs,NA,113776,C,2,0,0,0,1
0,3,male,55.5,0,0,8.05,S,Mr,A,11206,NA,,0,0,0,0
0,3,male,40.5,0,2,14.5,S,Mr,A,851,NA,,0,1,0,0
0,3,male,,0,0,7.3125,S,Mr,F,265302,NA,,0,0,0,0
0,1,male,51,0,1,61.3792,C,Mr,P,17597,NA,,0,1,0,0
1,3,female,16,0,0,7.7333,Q,Miss,NA,35851,NA,,0,0,0,0
0,3,male,30,0,0,8.05,S,Mr,SOTON,392090,NA,,0,0,0,0
0,3,male,,0,0,8.6625,S,Mr,NA,315037,NA,,0,0,0,0
0,3,male,,8,2,69.55,S,Master,C,2343,NA,,1,0,0,6
0,3,male,44,0,1,16.1,S,Mr,NA,371362,NA,,0,1,0,0
1,2,female,40,0,0,15.75,S,Mrs,C,33595,NA,,0,1,0,0
0,3,male,26,0,0,7.775,S,Mr,NA,347068,NA,,0,0,0,0
0,3,male,17,0,0,8.6625,S,Mr,NA,315093,NA,,0,0,0,0
0,3,male,1,4,1,39.6875,S,Master,NA,3101295,NA,,1,0,0,5
1,3,male,9,0,2,20.525,S,Master,NA,363291,NA,,1,0,1,1
1,1,female,,0,1,55,S,Mrs,NA,113505,E,33,0,1,1,0
0,3,female,45,1,4,27.9,S,Mrs,NA,347088,NA,,0,1,0,5
0,1,male,,0,0,25.925,S,Mr,P,17318,NA,,0,0,0,0
0,3,male,28,0,0,56.4958,S,Mr,NA,1601,NA,,0,0,0,0
0,1,male,61,0,0,33.5,S,Mr,NA,111240,B,19,0,0,0,0
0,3,male,4,4,1,29.125,Q,Master,NA,382652,NA,,1,0,0,4
1,3,female,1,1,1,11.1333,S,Miss,NA,347742,NA,,1,0,2,0
0,3,male,21,0,0,7.925,S,Mr,SOTON,3101280,NA,,0,0,0,0
0,1,male,56,0,0,30.6958,C,Mr,NA,17764,A,7,0,0,0,0
0,3,male,18,1,1,7.8542,S,Mr,NA,350404,NA,,1,0,0,0
0,3,male,,3,1,25.4667,S,Master,NA,4133,NA,,1,0,0,3
0,1,female,50,0,0,28.7125,C,Miss,P,17595,C,49,0,0,0,0
0,2,male,30,0,0,13,S,Mr,NA,250653,NA,,0,0,0,0
0,3,male,36,0,0,0,S,Mr,NA,0,NA,,0,0,0,0
0,3,female,,8,2,69.55,S,Miss,C,2343,NA,,1,0,0,6
0,2,male,,0,0,15.05,C,Mr,SCPARIS,2131,NA,,0,0,0,0
0,3,male,9,4,2,31.3875,S,Master,NA,347077,NA,,1,0,3,0
1,2,male,1,2,1,39,S,Master,NA,230136,F,4,1,0,1,0
1,3,female,4,0,2,22.025,S,Miss,NA,315153,NA,,1,0,0,1
0,1,male,,0,0,50,S,Mr,NA,113767,A,32,0,0,0,0
1,3,female,,1,0,15.5,Q,Mrs,NA,370365,NA,,0,0,0,1
1,1,male,45,0,0,26.55,S,Mr,NA,111428,NA,,0,0,0,0
0,3,male,40,1,1,15.5,Q,Mr,NA,364849,NA,,0,1,0,2
0,3,male,36,0,0,7.8958,S,Mr,NA,349247,NA,,0,0,0,0
1,2,female,32,0,0,13,S,Mrs,NA,234604,NA,,0,0,0,0
0,2,male,19,0,0,13,S,Mr,NA,28424,NA,,0,0,0,0
1,3,female,19,1,0,7.8542,S,Miss,NA,350046,NA,,0,0,0,1
1,2,male,3,1,1,26,S,Master,NA,230080,F,2,1,0,1,1
1,1,female,44,0,0,27.7208,C,Mrs,P,17610,B,4,0,0,0,0
1,1,female,58,0,0,146.5208,C,Miss,P,17569,B,80,0,0,0,0
0,3,male,,0,0,7.75,Q,Mr,NA,368703,NA,,0,0,0,0
0,3,male,42,0,1,8.4042,S,Mr,NA,4579,NA,,0,1,0,0
1,3,female,,0,0,7.75,Q,Miss,NA,370370,NA,,0,0,0,0
0,2,female,24,0,0,13,S,Miss,NA,248747,NA,,0,0,0,0
0,3,male,28,0,0,9.5,S,Mr,NA,345770,NA,,0,0,0,0
0,3,male,,8,2,69.55,S,Mr,C,2343,NA,,1,0,0,6
0,3,male,34,0,0,6.4958,S,Mr,NA,3101264,NA,,0,0,0,0
0,3,male,45.5,0,0,7.225,C,Mr,NA,2628,NA,,0,0,0,0
1,3,male,18,0,0,8.05,S,Mr,A,3540,NA,,0,0,0,0
0,3,female,2,0,1,10.4625,S,Miss,NA,347054,G,6,1,0,0,1
0,3,male,32,1,0,15.85,S,Mr,NA,3101278,NA,,0,0,1,2
1,3,male,26,0,0,18.7875,C,Mr,NA,2699,NA,,0,0,0,0
1,3,female,16,0,0,7.75,Q,Miss,NA,367231,NA,,0,0,0,0
1,1,male,40,0,0,31,C,Mr,NA,112277,A,31,0,0,0,0
0,3,male,24,0,0,7.05,S,Mr,SOTON,3101311,NA,,0,0,0,0
1,2,female,35,0,0,21,S,Miss,F,13528,NA,,0,0,0,0
0,3,male,22,0,0,7.25,S,Mr,A,21174,NA,,0,0,0,0
0,2,male,30,0,0,13,S,Mr,NA,250646,NA,,0,0,0,0
0,3,male,,1,0,7.75,Q,Mr,NA,367229,NA,,0,0,0,0
1,1,female,31,1,0,113.275,C,Miss,NA,35273,D,36,1,0,1,1
1,3,female,27,0,0,7.925,S,Miss,SOTON,3101283,NA,,0,0,0,0
0,2,male,42,1,0,27,S,Mr,NA,243847,NA,,0,0,2,0
1,1,female,32,0,0,76.2917,C,Miss,NA,11813,D,15,0,0,0,0
0,2,male,30,0,0,10.5,S,Mr,W,14208,NA,,0,0,0,0
1,3,male,16,0,0,8.05,S,Mr,SOTON,392089,NA,,0,0,0,0
0,2,male,27,0,0,13,S,Mr,NA,220367,NA,,0,0,0,0
0,3,male,51,0,0,8.05,S,Mr,NA,21440,NA,,0,0,0,0
0,3,male,,0,0,7.8958,S,Mr,NA,349234,NA,,0,0,0,0
1,1,male,38,1,0,90,S,Mr,NA,19943,C,93,0,0,1,0
0,3,male,22,0,0,9.35,S,Mr,P,4348,NA,,0,0,0,0
1,2,male,19,0,0,10.5,S,Mr,S,751,NA,,0,0,0,0
0,3,male,20.5,0,0,7.25,S,Mr,A,21173,NA,,0,0,0,0
0,2,male,18,0,0,13,S,Mr,NA,236171,NA,,0,0,0,0
0,3,female,,3,1,25.4667,S,Miss,NA,4133,NA,,1,0,0,3
1,1,female,35,1,0,83.475,S,Mrs,NA,36973,C,83,0,0,0,1
0,3,male,29,0,0,7.775,S,Mr,NA,347067,NA,,0,0,0,0
0,2,male,59,0,0,13.5,S,Mr,NA,237442,NA,,0,0,0,0
1,3,female,5,4,2,31.3875,S,Miss,NA,347077,NA,,1,0,2,1
0,2,male,24,0,0,10.5,S,Mr,C,29566,NA,,0,0,0,0
0,3,female,,0,0,7.55,S,Miss,W,6609,NA,,0,0,0,0
0,2,male,44,1,0,26,S,Mr,NA,26707,NA,,0,0,0,0
1,2,female,8,0,2,26.25,S,Miss,C,31921,NA,,1,0,1,1
0,2,male,19,0,0,10.5,S,Mr,NA,28665,NA,,0,0,0,0
0,2,male,33,0,0,12.275,S,Mr,S,1585,NA,,0,0,0,0
0,3,female,,1,0,14.4542,C,Miss,NA,2665,NA,,0,0,0,1
1,3,female,,1,0,15.5,Q,Miss,NA,367230,NA,,0,0,1,0
0,2,male,29,0,0,10.5,S,Mr,W,14263,NA,,0,0,0,0
0,3,male,22,0,0,7.125,S,Mr,SOTON,3101275,NA,,0,0,0,0
0,3,male,30,0,0,7.225,C,Mr,NA,2694,NA,,0,0,0,0
0,1,male,44,2,0,90,Q,Dr,NA,19928,C,78,0,0,1,0
0,3,female,25,0,0,7.775,S,Miss,NA,347071,NA,,0,0,0,0
1,2,female,24,0,2,14.5,S,Mrs,NA,250649,NA,,0,1,1,0
1,1,male,37,1,1,52.5542,S,Mr,NA,11751,D,35,0,1,2,0
0,2,male,54,1,0,26,S,Rev,NA,244252,NA,,0,0,0,1
0,3,male,,0,0,7.25,S,Mr,NA,362316,NA,,0,0,0,0
0,3,female,29,1,1,10.4625,S,Mrs,NA,347054,G,6,0,1,0,1
0,1,male,62,0,0,26.55,S,Mr,NA,113514,C,87,0,0,0,0
0,3,male,30,1,0,16.1,S,Mr,A,3336,NA,,0,0,0,1
0,3,female,41,0,2,20.2125,S,Mrs,NA,370129,NA,,0,1,0,1
1,3,female,29,0,2,15.2458,C,Mrs,NA,2650,NA,,0,1,0,0
1,1,female,,0,0,79.2,C,Mrs,P,17585,NA,,0,0,0,0
1,1,female,30,0,0,86.5,S,Miss,NA,110152,B,77,0,0,0,0
1,1,female,35,0,0,512.3292,C,Miss,P,17755,B,55,0,0,0,0
1,2,female,50,0,1,26,S,Mrs,NA,230433,NA,,0,1,1,0
0,3,male,,0,0,7.75,Q,Mr,NA,384461,NA,,0,0,0,0
1,3,male,3,4,2,31.3875,S,Master,NA,347077,NA,,1,0,2,1
0,1,male,52,1,1,79.65,S,Mr,NA,110413,E,67,0,1,2,0
0,1,male,40,0,0,0,S,Mr,NA,112059,B,94,0,0,0,0
0,3,female,,0,0,7.75,Q,Miss,NA,382649,NA,,0,0,0,0
0,2,male,36,0,0,10.5,S,Mr,C,17248,NA,,0,0,0,0
0,3,male,16,4,1,39.6875,S,Mr,NA,3101295,NA,,1,0,0,5
1,3,male,25,1,0,7.775,S,Mr,NA,347083,NA,,0,0,0,0
1,1,female,58,0,1,153.4625,S,Mrs,P,17582,C,125,0,1,0,1
1,1,female,35,0,0,135.6333,S,Miss,P,17760,C,99,0,0,0,0
0,1,male,,0,0,31,S,Mr,NA,113798,NA,,0,0,0,0
1,3,male,25,0,0,0,S,Mr,NA,0,NA,,0,0,0,0
1,2,female,41,0,1,19.5,S,Mrs,NA,250644,NA,,0,1,1,0
0,1,male,37,0,1,29.7,C,Mr,P,17596,C,118,0,0,0,0
1,3,female,,0,0,7.75,Q,Miss,NA,370375,NA,,0,0,0,0
1,1,female,63,1,0,77.9583,S,Miss,NA,13502,D,7,0,0,1,0
0,3,female,45,0,0,7.75,S,Miss,NA,347073,NA,,0,0,0,0
0,2,male,,0,0,0,S,Mr,NA,239853,NA,,0,0,0,0
0,3,male,7,4,1,29.125,Q,Master,NA,382652,NA,,1,0,0,4
1,3,female,35,1,1,20.25,S,Mrs,C,2673,NA,,0,1,0,1
0,3,male,65,0,0,7.75,Q,Mr,NA,336439,NA,,0,0,0,0
0,3,male,28,0,0,7.8542,S,Mr,NA,347464,NA,,0,0,0,0
0,3,male,16,0,0,9.5,S,Mr,NA,345778,NA,,0,0,0,0
1,3,male,19,0,0,8.05,S,Mr,A,10482,NA,,0,0,0,0
0,1,male,,0,0,26,S,Mr,NA,113056,A,19,0,0,0,0
0,3,male,33,0,0,8.6625,C,Mr,NA,349239,NA,,0,0,0,0
1,3,male,30,0,0,9.5,S,Mr,NA,345774,NA,,0,0,0,0
0,3,male,22,0,0,7.8958,S,Mr,NA,349206,NA,,0,0,0,0
1,2,male,42,0,0,13,S,Mr,NA,237798,NA,,0,0,0,0
1,3,female,22,0,0,7.75,Q,Miss,NA,370373,NA,,0,0,0,0
1,1,female,26,0,0,78.85,S,Miss,NA,19877,C,44,0,0,0,0
1,1,female,19,1,0,91.0792,C,Mrs,NA,11967,B,49,0,0,1,0
0,2,male,36,0,0,12.875,C,Mr,SCPARIS,2163,D,,0,0,0,0
0,3,female,24,0,0,8.85,S,Miss,NA,349236,NA,,0,0,0,0
0,3,male,24,0,0,7.8958,S,Mr,NA,349233,NA,,0,0,0,0
0,1,male,,0,0,27.7208,C,Mr,P,17612,NA,,0,0,0,0
0,3,male,23.5,0,0,7.2292,C,Mr,NA,2693,NA,,0,0,0,0
0,1,female,2,1,2,151.55,S,Miss,NA,113781,C,22,1,0,1,1
1,1,male,,0,0,30.5,S,Mr,NA,19988,C,106,0,0,0,0
1,1,female,50,0,1,247.5208,C,Mrs,P,17558,B,60,0,1,0,1
1,3,female,,0,0,7.75,Q,Miss,NA,9234,NA,,0,0,0,0
1,3,male,,2,0,23.25,Q,Mr,NA,367226,NA,,0,0,1,0
0,3,male,19,0,0,0,S,Mr,NA,0,NA,,0,0,0,0
1,2,female,,0,0,12.35,Q,Miss,NA,226593,E,101,0,0,0,0
0,3,male,,0,0,8.05,S,Mr,A,2466,NA,,0,0,0,0
1,1,male,0.92,1,2,151.55,S,Master,NA,113781,C,26,1,0,0,2
1,1,female,,0,0,110.8833,C,Miss,NA,17421,NA,,0,0,0,0
1,1,female,17,1,0,108.9,C,Mrs,P,17758,C,65,0,0,0,1
0,2,male,30,1,0,24,C,Mr,P,3381,NA,,0,0,1,0
1,1,female,30,0,0,56.9292,C,Miss,P,17485,E,36,0,0,0,0
1,1,female,24,0,0,83.1583,C,Miss,NA,11767,C,54,0,0,0,0
1,1,female,18,2,2,262.375,C,Miss,P,17608,B,57,1,0,1,0
0,2,female,26,1,1,26,S,Mrs,NA,250651,NA,,0,1,0,0
0,3,male,28,0,0,7.8958,S,Mr,NA,349243,NA,,0,0,0,0
0,2,male,43,1,1,26.25,S,Mr,F,13529,NA,,0,1,2,0
1,3,female,26,0,0,7.8542,S,Miss,NA,347470,NA,,0,0,0,0
1,2,female,24,1,0,26,S,Mrs,NA,244367,NA,,0,0,0,1
0,2,male,54,0,0,14,S,Dr,NA,29011,NA,,0,0,0,0
1,1,female,31,0,2,164.8667,S,Miss,NA,36928,C,7,1,0,1,0
1,1,female,40,1,1,134.5,C,Mrs,NA,16966,E,34,0,1,0,0
0,3,male,22,0,0,7.25,S,Mr,A,21172,NA,,0,0,0,0
0,3,male,27,0,0,7.8958,S,Mr,NA,349219,NA,,0,0,0,0
1,2,female,30,0,0,12.35,Q,Miss,NA,234818,NA,,0,0,0,0
1,2,female,22,1,1,29,S,Mrs,NA,248738,NA,,0,1,1,0
0,3,male,,8,2,69.55,S,Mr,C,2343,NA,,1,0,0,6
1,1,female,36,0,0,135.6333,C,Miss,P,17760,C,32,0,0,0,0
0,3,male,61,0,0,6.2375,S,Mr,NA,345364,NA,,0,0,0,0
1,2,female,36,0,0,13,S,Mrs,NA,28551,D,,0,0,0,0
1,3,female,31,1,1,20.525,S,Mrs,NA,363291,NA,,0,1,1,1
1,1,female,16,0,1,57.9792,C,Miss,NA,111361,B,18,1,0,1,0
1,3,female,,2,0,23.25,Q,Miss,NA,367226,NA,,0,0,1,0
0,1,male,45.5,0,0,28.5,S,Mr,NA,113043,C,124,0,0,0,0
0,1,male,38,0,1,153.4625,S,Mr,P,17582,C,91,1,0,1,0
0,3,male,16,2,0,18,S,Mr,NA,345764,NA,,0,0,0,2
1,1,female,,1,0,133.65,S,Mrs,P,17611,D,42,0,0,1,0
0,3,male,,0,0,7.8958,S,Mr,NA,349225,NA,,0,0,0,0
0,1,male,29,1,0,66.6,S,Mr,NA,113776,C,2,0,0,1,0
1,1,female,41,0,0,134.5,C,Miss,NA,16966,E,40,0,0,0,0
1,3,male,45,0,0,8.05,S,Mr,NA,7598,NA,,0,0,0,0
0,1,male,45,0,0,35.5,S,Mr,NA,113784,A,,0,0,0,0
1,2,male,2,1,1,26,S,Master,NA,230080,F,2,1,0,1,1
1,1,female,24,3,2,263,S,Miss,NA,19950,C,25,1,0,1,2
0,2,male,28,0,0,13,S,Mr,NA,248740,NA,,0,0,0,0
0,2,male,25,0,0,13,S,Mr,NA,244361,NA,,0,0,0,0
0,2,male,36,0,0,13,S,Mr,NA,229236,NA,,0,0,0,0
1,2,female,24,0,0,13,S,Miss,NA,248733,F,33,0,0,0,0
1,2,female,40,0,0,13,S,Miss,NA,31418,NA,,0,0,0,0
